ID	logFC	logCPM	F	PValue	FDR
uc009akq.2|D130017N08Rik	-1.15361798790935	2.14848752010375	7.87237401799075	0.0101515718292551	0.0156197703135986
uc007yzy.2|Osbpl11	-0.329156604881818	7.45869212398156	7.86979393803738	0.0101622534499208	0.0156341324289885
uc008ohy.1|Lsm14b	0.303483031457175	6.08018612814293	7.85407644163338	0.0102275934322645	0.0157325688180518
uc009ljb.1|Dusp26	1.91775328175394	-0.483268454760309	7.85145926728634	0.0102385184561659	0.0157472865385594
uc008bed.2|Neurl1b	1.20758355236023	2.48390493385721	7.96815420447384	0.0102452277604324	0.0157555172570308
uc009ftu.1|Hnrnpul1	0.224942177299794	7.21021469459165	7.84676357374773	0.0102581523180986	0.0157733025903654
uc007pli.1|Actn2	-1.63046701469747	1.97200778546032	7.85536794560546	0.0103006163845534	0.0158364981992809
uc012bfw.2|Ppp6r3	-0.172492532216527	7.39106775388946	7.83462956834204	0.0103090806386331	0.0158474115858585
uc007jdh.2|2610507I01Rik	-0.355619702810778	5.07463606065573	7.83067832016994	0.0103257249292863	0.0158703619235675
uc008zkh.2|Sh2b3	0.410160815200283	4.74250009639279	7.83043618066824	0.0103267458866616	0.0158703619235675
uc009prq.2|Ireb2	0.35354295403257	6.94326961053685	7.8233823475377	0.0103565367174699	0.0159140372841748
uc007eid.2|Nup43	-1.01896902044843	1.86484630309187	7.82212837148736	0.0103618426422344	0.0159200821210072
uc009sky.2|Shroom4	-0.578865964489993	3.71189450471357	7.81528438705686	0.0103908544790181	0.0159625426347209
uc008ikk.2|Mrc1	0.727697498014449	3.6435180882031	7.88482311759695	0.0103964199655243	0.0159670170480542
uc007dbe.1|BC034090	-0.71196339290911	3.12506645935831	7.81395049597527	0.0103965193310393	0.0159670170480542
uc008iex.1|Prpf18	-0.308068911866769	6.17412936243474	7.81072093765329	0.0104102489683467	0.0159859871333678
uc007yzz.1|Snx4	0.215024950522839	5.79411441727178	7.80845980158953	0.0104198735383402	0.0159986492874634
uc009oix.1|Zfp846	-0.546601132189623	3.1835630855653	7.80270922995505	0.0104443953172917	0.016034178204093
uc007rix.2|Rasa1	-0.284932993164657	6.08817387036823	7.79672499701315	0.0104699812514714	0.0160713311894195
uc007fmn.3|A930033H14Rik	-0.70744372202128	2.01673508170239	7.79240297315469	0.010488503416101	0.0160976329546322
uc009lie.1|Adrb3	0.719301797571484	9.08441840802413	8.01422474685986	0.010512686938392	0.0161326155992808
