ID	logFC	FDR	Direction
uc009pvx.2|Ubl7	1	0.05	down
uc009pvx.2|Ubl7	1	0.25	down
uc009mbs.1|Arrdc2	1	0.25	up
uc009mbs.1|Arrdc2	1	0.05	up
uc009mbs.1|Arrdc2	0.5	0.25	up
uc009mbs.1|Arrdc2	0.5	0.05	up
uc009lhi.1|Fnta	0.5	0.05	down
uc009lhi.1|Fnta	0.5	0.25	down
uc009tuk.2|Heph	1	0.25	up
uc009tuk.2|Heph	1	0.05	up
uc009tuk.2|Heph	0.5	0.05	up
uc009tuk.2|Heph	0.5	0.25	up
uc009iyu.1|Timm10b	1	0.25	down
uc009iyu.1|Timm10b	1	0.05	down
uc009iyu.1|Timm10b	0.5	0.05	down
uc009iyu.1|Timm10b	0.5	0.25	down
uc007pyp.2|Cdkal1	0.5	0.25	down
uc007pyp.2|Cdkal1	0.5	0.05	down
uc007pyp.2|Cdkal1	1	0.05	down
uc007pyp.2|Cdkal1	1	0.25	down
uc009cih.1|Tmem150a	1	0.25	down
uc009cih.1|Tmem150a	1	0.05	down
uc009cih.1|Tmem150a	0.5	0.25	down
uc009cih.1|Tmem150a	0.5	0.05	down
uc007bzr.2|Lrrfip1	0.5	0.25	down
uc007bzr.2|Lrrfip1	0.5	0.05	down
uc009gew.1|Hspb6	0.5	0.05	down
uc009gew.1|Hspb6	0.5	0.25	down
uc009gew.1|Hspb6	1	0.05	down
uc009gew.1|Hspb6	1	0.25	down
uc007jgj.1|Mief2	0.5	0.25	down
uc007jgj.1|Mief2	0.5	0.05	down
uc008upr.2|Macf1	0.5	0.05	down
uc008upr.2|Macf1	0.5	0.25	down
uc008upr.2|Macf1	1	0.25	down
uc008upr.2|Macf1	1	0.05	down
uc009ubb.2|Atrx	0.5	0.25	up
uc009ubb.2|Atrx	0.5	0.05	up
uc009ubb.2|Atrx	1	0.05	up
uc009ubb.2|Atrx	1	0.25	up
uc008pgy.1|Tm4sf1	1	0.05	up
uc008pgy.1|Tm4sf1	1	0.25	up
uc008pgy.1|Tm4sf1	0.5	0.25	up
uc008pgy.1|Tm4sf1	0.5	0.05	up
uc009mca.2|Rpl18a	0.5	0.25	down
uc009mca.2|Rpl18a	0.5	0.05	down
uc011xlt.1|Elk3	1	0.05	up
uc011xlt.1|Elk3	1	0.25	up
uc011xlt.1|Elk3	0.5	0.25	up
uc011xlt.1|Elk3	0.5	0.05	up
uc008jst.1|Acvr1	1	0.25	up
uc008jst.1|Acvr1	1	0.05	up
uc008jst.1|Acvr1	0.5	0.25	up
uc008jst.1|Acvr1	0.5	0.05	up
uc008rcv.2|Frrs1	1	0.05	down
uc008rcv.2|Frrs1	1	0.25	down
uc008rcv.2|Frrs1	0.5	0.05	down
